sentence,fuel,machine,others,part,price,service,clean_sentence
"Saya naik mazda CX3 sehari-hari . performa mantap , mobil nyaman tidak seperti honda hrv yang cenderung goyang-goyang",neutral,neutral,negative,neutral,neutral,neutral,saya naik mazda cx3 seharihari performa mantap mobil nyaman tidak seperti honda hrv yang cenderung goyanggoyang
"Avanza guncangan mesin nya halus meski di jalan yang tak mulus , AC enggak menurun meski dinyalakan tanpa henti , dan mesin enggak cepat panas berlebih meski macet bermenit-menit .",neutral,positive,neutral,positive,neutral,neutral,avanza guncang mesin nya halus meski di jalan yang tak mulus ac enggak turun meski nyala tanpa henti dan mesin enggak cepat panas lebih meski macet bermenitmenit
"Wuling Formo mobil cina, mesin nya enggak berumur panjang karena di cina juga enggak ada yang umur nya panjang.",neutral,negative,neutral,neutral,neutral,neutral,wuling formo mobil cina mesin nya enggak umur panjang karena di cina juga enggak ada yang umur nya panjang
"Mobil honda emang keren , saya punya honda CRV tahun 2006 sampai sekarang masih mulus ,",neutral,neutral,positive,neutral,neutral,neutral,mobil honda emang keren saya punya honda crv tahun sampai sekarang masih mulus
"Honda slalu nanggung dan maksa tiap kali melakukan upgrade mobil yangg sudah ada , membosankan",neutral,neutral,negative,neutral,neutral,neutral,honda slalu nanggung dan maksa tiap kali laku upgrade mobil yangg sudah ada bosan
Bengkel ahas togosari service nya tidak memuaskan mekanik nya gak fokus dan jelek . tidak seperti dulu . gimana itu bos .,neutral,neutral,neutral,neutral,neutral,negative,bengkel ahas togosari service nya tidak muas mekanik nya gak fokus dan jelek tidak seperti dulu gimana itu bos
"Buat yang orientasi pengendara , Mitsubishi ini cocok banget mau mobil yang menyenangkan untuk dikendarai enak dibawa luar sama dalam kota",neutral,neutral,positive,neutral,neutral,neutral,buat yang orientasi kendara mitsubishi ini cocok banget mau mobil yang senang untuk kendara enak bawa luar sama dalam kota
N - Max biaya perawatan mahal bakal lebih boros dari pada kamu naik angkutan umum,neutral,neutral,neutral,neutral,neutral,negative,n max biaya awat mahal bakal lebih boros dari pada kamu naik angkut umum
Fortuner lebih mewah lebih besar,neutral,neutral,positive,neutral,neutral,neutral,fortuner lebih mewah lebih besar
"@DaihatsuInd Xenia itu kita banget ! Cocok diajak ke mana-mana , service gampang , harga terjangkau , mudah dipakai .",neutral,neutral,positive,neutral,positive,positive,daihatsuind xenia itu kita banget cocok ajak ke manamana service gampang harga jangkau mudah pakai
Kenapa saya pilih pajero karena saya sering pulang kampung waktu lebaran dan jalan nya kebanyakan jelek dan tanjakan nya full curam belom di aspal,neutral,positive,neutral,neutral,neutral,neutral,kenapa saya pilih pajero karena saya sering pulang kampung waktu lebaran dan jalan nya banyak jelek dan tanjak nya full curam bom di aspal
"Konsumsi bbm bisa dipaksa 1:12 kalau bawa nya waras , lumayan irit si Altis G 2003 MT ini",positive,neutral,neutral,neutral,neutral,neutral,konsumsi bbm bisa paksa kalau bawa nya waras lumayan irit si altis g mt ini
"harga purnajual memang Toyota lebih baik . tetapi ya orang macam gua mikir nya beli mobil ya buat dipakai , bukan dijual . Hehe",neutral,neutral,neutral,neutral,positive,neutral,harga purnajual memang toyota lebih baik tetapi ya orang macam gua mikir nya beli mobil ya buat pakai bukan jual hehe
"@YamahaIndonesia pelayanan bengkel yamaha di poso jelek sekali bung , hari kemarin bilang nyuruh hari ini , hari ini datang bilang tidak bisa",neutral,neutral,neutral,neutral,neutral,negative,yamahaindonesia layan bengkel yamaha di poso jelek sekali bung hari kemarin bilang nyuruh hari ini hari ini datang bilang tidak bisa
"Saya membeli Honda Beat ini pada tahun 2015 , sudah tiga tahun lama nya umur motor ini . Saya bekerja dengan jarak tempuh lumayan jauh dari rumah saya , tetapi terbukti hingga saat ini sangat irit bbm - nya , di lain sisi ada dobel rem yang membuat sepeda ini menjadi luar biasa .",positive,neutral,neutral,positive,neutral,neutral,saya beli honda beat ini pada tahun sudah tiga tahun lama nya umur motor ini saya kerja dengan jarak tempuh lumayan jauh dari rumah saya tetapi bukti hingga saat ini sangat irit bbm nya di lain sisi ada dobel rem yang buat sepeda ini jadi luar biasa
Head Lamp Avanza juga menggunakan model terbaru . Dengan perubahan tersebut mobil ini memiliki desain yang lebih elegan juragan .,neutral,neutral,neutral,positive,neutral,neutral,head lamp avanza juga guna model baru dengan ubah sebut mobil ini milik desain yang lebih elegan juragan
"saya menyesal beli mobilio, tetangga beli wuling cortez puas banget",neutral,neutral,positive,neutral,neutral,neutral,saya sesal beli mobilio tetangga beli wuling cortez puas banget
brio adalah salah satu mobil ekonomis untuk keluarga menengah,neutral,neutral,neutral,neutral,positive,neutral,brio adalah salah satu mobil ekonomis untuk keluarga tengah
"kaki-kaki juga aman normal jaya . belum pernah ganti sparepart apa pun kecuali oli radiator dan filter , mantap brio",neutral,neutral,neutral,positive,neutral,neutral,kakikaki juga aman normal jaya belum pernah ganti sparepart apa pun kecuali oli radiator dan filter mantap brio
"Ada satu lagi nih yang menurut saya sepele tetapi jadi kenikmatan , yaitu fitur Brake Hold di HRV",neutral,neutral,neutral,positive,neutral,neutral,ada satu lagi nih yang turut saya sepele tetapi jadi nikmat yaitu fitur brake hold di hrv
xpander terlihat seperti mobil tahun 2020,neutral,neutral,positive,neutral,neutral,neutral,xpander lihat seperti mobil tahun
Toyota rush terbaik di kelas nya dan terdepan di zaman nya .,neutral,neutral,positive,neutral,neutral,neutral,toyota rush baik di kelas nya dan depan di zaman nya
brio gak bagus sumpah .,neutral,neutral,negative,neutral,neutral,neutral,brio gak bagus sumpah
"Dipakai kerja tiap hari enggak pernah rewel , mesin bandel , sesuai dengan kebutuhan , BBM irit tiada banding .",positive,positive,positive,neutral,neutral,neutral,pakai kerja tiap hari enggak pernah rewel mesin bandel sesuai dengan butuh bbm irit tiada banding
mendingan Mitsubishi Xpander yang rata rata menang disegala aspek,neutral,neutral,positive,neutral,neutral,neutral,mending mitsubishi xpander yang rata rata menang segala aspek
Kok bengkel toyota payah banget sih . Kata nya bakal dipanggil nomor nya tapi nomor nya manual :(,neutral,neutral,neutral,neutral,neutral,negative,kok bengkel toyota payah banget sih kata nya bakal panggil nomor nya tapi nomor nya manual
cukup 10 menit untuk bersihkan injektor motor injeksi Yamaha :D arti nya motor injeksi YMH perawatan murah & mudah,neutral,neutral,neutral,neutral,neutral,positive,cukup menit untuk sih injektor motor injeksi yamaha d arti nya motor injeksi ymh awat murah mudah
"Kekurangan dari Formo sekilas: minim fitur safety, kualitas finishing interior jelek.",neutral,neutral,neutral,negative,neutral,neutral,kurang dari formo kilas minim fitur safety kualitas finishing interior jelek
Susah banget telepon buat booking servis auto 2000 toyota ! Masa gue harus booking ke sana sih :(,neutral,neutral,neutral,neutral,neutral,negative,susah banget telepon buat booking servis auto toyota masa gue harus booking ke sana sih
Yamaha motor injeksi nya lebih mudah dan murah perawatan nya,neutral,neutral,neutral,neutral,neutral,positive,yamaha motor injeksi nya lebih mudah dan murah awat nya
"Pengalaman pakai HRV 1.5 E , berisik shockbreaker pas di tol cikampek dan terbanting-banting kalau duduk di belakang",neutral,neutral,neutral,negative,neutral,neutral,alam pakai hrv e berisik shockbreaker pas di tol cikampek dan terbantingbanting kalau duduk di belakang
"Honda Beat bahan bakar sangat irit , ringan buat menyalip di jalanan macet , mesin tarikan enteng banget .",positive,positive,positive,neutral,neutral,neutral,honda beat bahan bakar sangat irit ringan buat salip di jalan macet mesin tari enteng banget
Mobil WULING CONFERO sangat layak untuk dipilih dan DIBELI sebagai mobil MPV yang nyaman dengan harga terjangkau .,neutral,neutral,neutral,neutral,positive,neutral,mobil wuling confero sangat layak untuk pilih dan beli bagai mobil mpv yang nyaman dengan harga jangkau
Memilih Terios baru rasanya tidak keliru,neutral,neutral,positive,neutral,neutral,neutral,pilih terios baru rasa tidak keliru
"Xenia irit banget apalagi kalau lagi kere . coba matikan saja ac - nya , bisa jalan-jalan dengan 25.000 rupiah .",positive,neutral,neutral,neutral,neutral,neutral,xenia irit banget apalagi kalau lagi kere coba mati saja ac nya bisa jalanjalan dengan rupiah
Mobil wuling confero S nyaman dipakai di medan petualangan .,neutral,neutral,positive,neutral,neutral,neutral,mobil wuling confero s nyaman pakai di medan tualang
Puas banget sama after sales-nya Nissan.,neutral,neutral,neutral,neutral,neutral,positive,puas banget sama after salesnya nissan
"Avanza mudah dalam perawatan ,",neutral,neutral,neutral,neutral,neutral,positive,avanza mudah dalam awat
"kalau soal mesin dan bentuk toplah yamaha , kayak sekarang saya pakai nmax 2018 yang memang sudah lama saya incar , dari bentuk saya suka sekali .",neutral,positive,neutral,positive,neutral,neutral,kalau soal mesin dan bentuk top yamaha kayak sekarang saya pakai nmax yang memang sudah lama saya incar dari bentuk saya suka sekali
"masalah nya , Xenia 2005 kadang-kadang dasbor bunyi ,",neutral,neutral,neutral,negative,neutral,neutral,masalah nya xenia kadangkadang dasbor bunyi
"Dan cabin nya juga lebih luas fortuner , kalau pajero sempit apalagi di bagian depan",neutral,neutral,neutral,negative,neutral,neutral,dan cabin nya juga lebih luas fortuner kalau pajero sempit apalagi di bagi depan
"Service bengkel pinggir jalan dibilang jelek hasil service di dealer resmi pelayanan jelek , scumbag honda",neutral,neutral,neutral,neutral,neutral,negative,service bengkel pinggir jalan bilang jelek hasil service di dealer resmi layan jelek scumbag honda
selama ini pakai xexi lumayan enak dan nyaman juga .,neutral,neutral,positive,neutral,neutral,neutral,lama ini pakai xexi lumayan enak dan nyaman juga
"rata-rata bbm - nya luar kota juga bisa sampai 1:16 , irit banget mitsubishi",positive,neutral,neutral,neutral,neutral,neutral,ratarata bbm nya luar kota juga bisa sampai irit banget mitsubishi
"1 kelemahan xenia , DUDUK DI BARIS PALING BELAKANG KAYAK NAIK UNTA ! GILA BERASA BANGET PUYENGNYA .",neutral,neutral,neutral,negative,neutral,neutral,lemah xenia duduk di baris paling belakang kayak naik unta gila asa banget puyeng
Tapi yang sangat jelek dari Freed adalah tarikan nya .,neutral,negative,neutral,neutral,neutral,neutral,tapi yang sangat jelek dari freed adalah tari nya
Fortuner Itu Mobil Tenaga nya Lemah Harga Selangit,neutral,negative,neutral,neutral,negative,neutral,fortuner itu mobil tenaga nya lemah harga langit
saya saranin beli vario aja suku cadang meadai purnajual juga oke,neutral,neutral,neutral,positive,positive,neutral,saya saranin beli vario aja suku cadang meadai purnajual juga oke
"brio gak cocok dibawa pergi ke medan yang susah, lemah dia",neutral,neutral,positive,neutral,neutral,neutral,brio gak cocok bawa pergi ke medan yang susah lemah dia
"Simpel cocok dijuluki untuk nya Honda beat makin bertambah gaya desain minimalis namun juara di kelas nya , bahan bakar juara nya hemat ramah dan bersahabat dengan saku maupun di dompet , sukses selalu Honda one Heart",positive,neutral,neutral,positive,positive,neutral,simpel cocok juluk untuk nya honda beat makin tambah gaya desain minimal namun juara di kelas nya bahan bakar juara nya hemat ramah dan sahabat dengan saku maupun di dompet sukses selalu honda one heart
"Soal tenaga yang kurang di ertiga juga agak mengganggu ,",neutral,negative,neutral,neutral,neutral,neutral,soal tenaga yang kurang di ertiga juga agak ganggu
"New Veloz saya rasa udah banyak improvement nya , terutama di bagian suspensi nya dibanding sebelumnya . Mental mentul , body roll , limbung sudah berkurang .",neutral,neutral,neutral,positive,neutral,neutral,new veloz saya rasa udah banyak improvement nya utama di bagi suspensi nya banding belum mental mentul body roll limbung sudah kurang
@DaihatsuInd banyak yang mengeluh servis ke 2 di astra daihatsu mahal . tolong edukasikan ke bengkel-bengkel resmi jangan mainin harga atau sparepart yang bagus gak perlu diganti,neutral,neutral,neutral,neutral,neutral,negative,daihatsuind banyak yang keluh servis ke di astra daihatsu mahal tolong edukasi ke bengkelbengkel resmi jangan mainin harga atau sparepart yang bagus gak perlu ganti
terus radio nya HRV nyala sendiri dengan volume maksimal . enggak bisa dimatikan dan dikecilkan .,neutral,neutral,neutral,negative,neutral,neutral,terus radio nya hrv nyala sendiri dengan volume maksimal enggak bisa mati dan kecil
"wah AVS kamu irit banget kak , AVG saya saja sekitar 1:8 sampai 1:9 memang macet sih jalanan .",positive,neutral,neutral,neutral,neutral,neutral,wah avs kamu irit banget kak avg saya saja sekitar sampai memang macet sih jalan
"Fortuner adalah mobil impian saya . Ini adalah suv mahal memang , tetapi sepadan .",neutral,neutral,neutral,neutral,negative,neutral,fortuner adalah mobil impi saya ini adalah suv mahal memang tetapi padan
"kalau melihat spesifikasi nya, harga ertiga cukup ramah di kantong",neutral,neutral,neutral,neutral,positive,neutral,kalau lihat spesifikasi nya harga ertiga cukup ramah di kantong
Ternyata perawatan yamaha rata rata lebih murah dari kompetitor .,neutral,neutral,neutral,neutral,neutral,positive,nyata awat yamaha rata rata lebih murah dari kompetitor
"Sudah dua tahun saya memiliki motor Honda Beat ini , motor ini keseharian nya saya pergunakan untuk antar anak sekolah dan bekerja . Motor yang lumayan gesit , lincah dan irit BBM .",positive,positive,neutral,neutral,neutral,neutral,sudah dua tahun saya milik motor honda beat ini motor ini hari nya saya guna untuk antar anak sekolah dan kerja motor yang lumayan gesit lincah dan irit bbm
Pajero mempunyai mesin yang lebih bertenaga dan banyak fitur,neutral,positive,neutral,positive,neutral,neutral,pajero punya mesin yang lebih tenaga dan banyak fitur
suzuki ignis dan Daihatsu sirion harga jual nya juga enggak stabil,neutral,neutral,neutral,neutral,negative,neutral,suzuki ignis dan daihatsu sirion harga jual nya juga enggak stabil
kalau menurut gue suspensi avanza agak aneh . kalau cuma berdua suspensi nya berasa keras banget . tetapi kalau diisi penuh 6 - 7 orang suspensi nya mantap betul .,neutral,neutral,neutral,negative,neutral,neutral,kalau turut gue suspensi avanza agak aneh kalau cuma dua suspensi nya asa keras banget tetapi kalau isi penuh orang suspensi nya mantap betul
"kalau sudah di atas 120 km / jam boros banget avanza saya , terus kopling nya memang agak keras juragan .",negative,neutral,neutral,negative,neutral,neutral,kalau sudah di atas km jam boros banget avanza saya terus kopling nya memang agak keras juragan
"Pertama kali memiliki mobil ini rasanya seperti mimpi , karena setelah dapat mobil ternyata menang undian juga 10 juta rupiah dari Daihatsu . Mobil irit , servis mudah dan murah .",positive,neutral,neutral,neutral,neutral,positive,pertama kali milik mobil ini rasa seperti mimpi karena telah dapat mobil nyata menang undi juga juta rupiah dari daihatsu mobil irit servis mudah dan murah
mendingan vrz 4*4 sekalian fitur lengkap spoiler bisa beli di toko variasi,neutral,neutral,neutral,positive,neutral,neutral,mending vrz sekali fitur lengkap spoiler bisa beli di toko variasi
Rush konde konsumsi BBM yang tetap irit .,negative,neutral,neutral,neutral,neutral,neutral,rush konde konsumsi bbm yang tetap irit
Xenia memang masih kurang dari segi keamanan nya . Air bag - nya kagak ada bos .,neutral,neutral,neutral,positive,neutral,neutral,xenia memang masih kurang dari segi aman nya air bag nya kagak ada bos
Pajero sport Dakar memang di atas Fortuner,neutral,neutral,negative,neutral,neutral,neutral,pajero sport dakar memang di atas fortuner
Dulu gue enggak suka sama xpander .,neutral,neutral,negative,neutral,neutral,neutral,dulu gue enggak suka sama xpander
Altis gen 11 pas lah buat yang cari kenyamanan berkendara,neutral,neutral,positive,neutral,neutral,neutral,altis gen pas lah buat yang cari nyaman kendara
"Fortuner saya kok setir nya agak enggak enak gitu , ya . Enggak luwes .",neutral,neutral,neutral,negative,neutral,neutral,fortuner saya kok setir nya agak enggak enak gitu ya enggak luwes
Putaran bawah mesin fortuner sangat kuat,neutral,positive,neutral,neutral,neutral,neutral,putar bawah mesin fortuner sangat kuat
jujur fortuner ini bandel banget dipakai di medan apa pun,neutral,positive,neutral,neutral,neutral,neutral,jujur fortuner ini bandel banget pakai di medan apa pun
pengalaman saya punya avanza bahan bakar nya lebih hemat daripada ketika saya punya xenia,negative,neutral,neutral,neutral,neutral,neutral,alam saya punya avanza bahan bakar nya lebih hemat daripada ketika saya punya xenia
"kemarin saya di honda brio , baru 2 tahun pakai dan jarang dipakai kaki-kaki sudah bunyi , rem cepat habis , sama sil booster rem atau master rem yang rembes",neutral,neutral,neutral,negative,neutral,neutral,kemarin saya di honda brio baru tahun pakai dan jarang pakai kakikaki sudah bunyi rem cepat habis sama sil booster rem atau master rem yang rembes
"Sirion ini terlalu overpriced bos , bisa ngga laku di indonesia",neutral,neutral,negative,neutral,negative,neutral,sirion ini terlalu overpriced bos bisa ngga laku di indonesia
xenia ini mobil paling jelek yang pernah saya punya,neutral,neutral,negative,neutral,neutral,neutral,xenia ini mobil paling jelek yang pernah saya punya
saya akui enak banget Hrv ini mengendarai punya saudara pakai Hrv,neutral,neutral,positive,neutral,neutral,neutral,saya aku enak banget hrv ini kendara punya saudara pakai hrv
Payah payah gak ada yang becus nih bengkel honda . seminggu dari bengkel sudah bunyi lagi saja .,neutral,neutral,neutral,neutral,neutral,negative,payah payah gak ada yang becus nih bengkel honda minggu dari bengkel sudah bunyi lagi saja
"DAIHATSU TARUNA , Selain tampang nya modern kala itu , kapasitas penumpang nya banyak dan tentu saja , mobil ini sudah dibuat ala-ala SUV",neutral,neutral,neutral,positive,neutral,neutral,daihatsu taruna selain tampang nya modern kala itu kapasitas tumpang nya banyak dan tentu saja mobil ini sudah buat alaala suv
menurut saya dari segi kenyamanan sih bolehlah lumayan si xenia,neutral,neutral,positive,neutral,neutral,neutral,turut saya dari segi nyaman sih boleh lumayan si xenia
Avanza bahan bakar nya yang irit .,positive,neutral,neutral,neutral,neutral,neutral,avanza bahan bakar nya yang irit
Toyota rush 2018 tarikan nya luar biasa,neutral,positive,neutral,neutral,neutral,neutral,toyota rush tari nya luar biasa
Avanza mobil yang nyaman untuk keluarga dan tidak terlalu mahal perawatan nya,neutral,neutral,positive,neutral,neutral,positive,avanza mobil yang nyaman untuk keluarga dan tidak terlalu mahal awat nya
